symbol,pred_date,entry_date,prob,mae,none__ret,none__days,none__hit,none__exit,predlow_close__ret,predlow_close__days,predlow_close__hit,predlow_close__exit,predlow_touch__ret,predlow_touch__days,predlow_touch__hit,predlow_touch__exit,ema_close__ret,ema_close__days,ema_close__hit,ema_close__exit,ema_touch__ret,ema_touch__days,ema_touch__hit,ema_touch__exit,fixed_8pct__ret,fixed_8pct__days,fixed_8pct__hit,fixed_8pct__exit,fixed_12pct__ret,fixed_12pct__days,fixed_12pct__hit,fixed_12pct__exit,fixed_15pct__ret,fixed_15pct__days,fixed_15pct__hit,fixed_15pct__exit,fixed_20pct__ret,fixed_20pct__days,fixed_20pct__hit,fixed_20pct__exit,fixed_25pct__ret,fixed_25pct__days,fixed_25pct__hit,fixed_25pct__exit
BHARTIHEXA,2024-06-26,2024-06-27,0.6197411003236247,-0.1631114174367677,-0.15307080554766528,5,False,2024-07-03,-0.12732463433752483,2,True,2024-06-28,-0.08892017853283274,1,True,2024-06-27,-0.15596193939750036,4,True,2024-07-02,-0.14297972808402015,2,True,2024-06-28,-0.07999999999999996,1,True,2024-06-27,-0.1200000000000001,2,True,2024-06-28,-0.15000000000000002,3,True,2024-07-01,-0.15307080554766528,5,False,2024-07-03,-0.15307080554766528,5,False,2024-07-03
CESC,2024-06-26,2024-06-27,0.6197411003236247,-0.07202568455726355,-0.061027004441073895,5,False,2024-07-03,-0.061027004441073895,5,False,2024-07-03,-0.061027004441073895,5,False,2024-07-03,-0.061027004441073895,5,False,2024-07-03,-0.061027004441073895,5,False,2024-07-03,-0.061027004441073895,5,False,2024-07-03,-0.061027004441073895,5,False,2024-07-03,-0.061027004441073895,5,False,2024-07-03,-0.061027004441073895,5,False,2024-07-03,-0.061027004441073895,5,False,2024-07-03
EPACK,2024-06-26,2024-06-27,0.6197411003236247,-0.026639344262295084,0.06274589163358102,5,False,2024-07-03,0.06274589163358102,5,False,2024-07-03,0.06274589163358102,5,False,2024-07-03,0.06274589163358102,5,False,2024-07-03,0.06274589163358102,5,False,2024-07-03,0.06274589163358102,5,False,2024-07-03,0.06274589163358102,5,False,2024-07-03,0.06274589163358102,5,False,2024-07-03,0.06274589163358102,5,False,2024-07-03,0.06274589163358102,5,False,2024-07-03
EXICOM,2024-06-26,2024-06-27,0.6197411003236247,-0.0010770819960584932,0.24204700312445504,5,False,2024-07-03,0.24204700312445504,5,False,2024-07-03,0.24204700312445504,5,False,2024-07-03,0.24204700312445504,5,False,2024-07-03,0.24204700312445504,5,False,2024-07-03,0.24204700312445504,5,False,2024-07-03,0.24204700312445504,5,False,2024-07-03,0.24204700312445504,5,False,2024-07-03,0.24204700312445504,5,False,2024-07-03,0.24204700312445504,5,False,2024-07-03
POCL,2024-06-27,2024-06-28,0.6326530612244898,-0.036505086774386575,0.1277079739162552,5,False,2024-07-04,0.1277079739162552,5,False,2024-07-04,0.1277079739162552,5,False,2024-07-04,0.1277079739162552,5,False,2024-07-04,0.1277079739162552,5,False,2024-07-04,0.1277079739162552,5,False,2024-07-04,0.1277079739162552,5,False,2024-07-04,0.1277079739162552,5,False,2024-07-04,0.1277079739162552,5,False,2024-07-04,0.1277079739162552,5,False,2024-07-04
TEXRAIL,2024-06-27,2024-06-28,0.6326530612244898,-0.00204168955485029,0.061124992370605424,5,False,2024-07-04,0.061124992370605424,5,False,2024-07-04,0.061124992370605424,5,False,2024-07-04,0.061124992370605424,5,False,2024-07-04,0.061124992370605424,5,False,2024-07-04,0.061124992370605424,5,False,2024-07-04,0.061124992370605424,5,False,2024-07-04,0.061124992370605424,5,False,2024-07-04,0.061124992370605424,5,False,2024-07-04,0.061124992370605424,5,False,2024-07-04
EXICOM,2024-06-27,2024-06-28,0.6197411003236247,-0.01794697636575837,0.11580515362022847,5,False,2024-07-04,0.11580515362022847,5,False,2024-07-04,0.11580515362022847,5,False,2024-07-04,0.11580515362022847,5,False,2024-07-04,0.11580515362022847,5,False,2024-07-04,0.11580515362022847,5,False,2024-07-04,0.11580515362022847,5,False,2024-07-04,0.11580515362022847,5,False,2024-07-04,0.11580515362022847,5,False,2024-07-04,0.11580515362022847,5,False,2024-07-04
IIFLCAPS,2024-06-27,2024-06-28,0.6197411003236247,-0.04333113622756657,0.028207543524670253,5,False,2024-07-04,0.012387471077113021,3,True,2024-07-02,0.0,1,True,2024-06-28,0.012387471077113021,3,True,2024-07-02,0.0,1,True,2024-06-28,0.028207543524670253,5,False,2024-07-04,0.028207543524670253,5,False,2024-07-04,0.028207543524670253,5,False,2024-07-04,0.028207543524670253,5,False,2024-07-04,0.028207543524670253,5,False,2024-07-04
INDIACEM,2024-06-27,2024-06-28,0.6197411003236247,-0.0288927546834451,-0.011072706598724058,5,False,2024-07-04,-0.011072706598724058,5,False,2024-07-04,-0.011072706598724058,5,False,2024-07-04,-0.011072706598724058,5,False,2024-07-04,-0.011072706598724058,5,False,2024-07-04,-0.011072706598724058,5,False,2024-07-04,-0.011072706598724058,5,False,2024-07-04,-0.011072706598724058,5,False,2024-07-04,-0.011072706598724058,5,False,2024-07-04,-0.011072706598724058,5,False,2024-07-04
MARINE,2024-06-27,2024-06-28,0.6197411003236247,-0.028778779718646952,0.12893662561094144,5,False,2024-07-04,0.12893662561094144,5,False,2024-07-04,0.12893662561094144,5,False,2024-07-04,0.12893662561094144,5,False,2024-07-04,0.12893662561094144,5,False,2024-07-04,0.12893662561094144,5,False,2024-07-04,0.12893662561094144,5,False,2024-07-04,0.12893662561094144,5,False,2024-07-04,0.12893662561094144,5,False,2024-07-04,0.12893662561094144,5,False,2024-07-04
